Data Medicao,Dia do Mês,Dia da Semana,Mês,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%)"
02/06/2005,2,5,6,"75,2","26,7","23,858","22,3","91,25",81
03/06/2005,3,6,6,"58,6","28,8","25,296","21,5","78,375",63
04/06/2005,4,7,6,"3,2","29,5","25,05","22,2","83,25",66
05/06/2005,5,1,6,"13,6","28,1","25,533","23,2","80,542",69
06/06/2005,6,2,6,"7,8","28,5","24,775","22,4","80,125",63
07/06/2005,7,3,6,"8,4","27,7","24,3","22,1","84,875",71
08/06/2005,8,4,6,"66,6","28,5","24,692","22,4","85,333",65
09/06/2005,9,5,6,"7,8","28,8","25,375","23,3","80,125",61
10/06/2005,10,6,6,"0,2","28,1","23,979","21,9","85,167",65
11/06/2005,11,7,6,"13,8","28,3","24,579","21,8",83,67
12/06/2005,12,1,6,"7,2","28,1","25,658","22,9","78,625",67
13/06/2005,13,2,6,"41,2","28,1","24,946",23,"86,667",72
14/06/2005,14,3,6,26,"25,4","23,517","23,2","91,708",84
15/06/2005,15,4,6,"64,6","28,6","25,067","22,8","83,292",66
16/06/2005,16,5,6,"0,8","29,4","24,825","21,6","82,25",61
17/06/2005,17,6,6,9,29,"24,867",23,"87,75",68
18/06/2005,18,7,6,"59,8","24,5","22,9","22,8","92,125",84
19/06/2005,19,1,6,"40,8","30,1","24,538","21,2","83,917",61
20/06/2005,20,2,6,"5,2","29,5","25,817",23,"83,5",64
21/06/2005,21,3,6,"15,6","29,5","25,25","22,5","82,5",60
22/06/2005,22,4,6,"0,4","28,8","25,254","22,5",81,62
23/06/2005,23,5,6,"7,8","26,5","23,858","21,7","87,25",77
24/06/2005,24,6,6,14,26,"23,867","22,7","88,958",79
25/06/2005,25,7,6,50,"30,3","24,713","22,3","83,083",61
26/06/2005,26,1,6,"1,4","28,4","24,35","22,2","81,875",58
27/06/2005,27,2,6,"4,6",28,"23,654","21,2","87,583",70
28/06/2005,28,3,6,18,28,"24,225","21,4","83,5",61
29/06/2005,29,4,6,"14,8","27,7","25,508",23,"73,333",62
30/06/2005,30,5,6,"3,4","28,2","24,467","21,3","80,208",63
01/07/2005,1,6,7,"35,4","25,9",23,"21,2","88,875",77
02/07/2005,2,7,7,"1,2","26,8","23,858","21,5","82,875",71
03/07/2005,3,1,7,"10,6",28,"24,708","22,9","82,792",66
04/07/2005,4,2,7,10,"28,3","24,788","21,4","75,708",55
05/07/2005,5,3,7,0,"29,2","23,908","19,9","81,75",56
06/07/2005,6,4,7,0,"29,3","24,646","21,1","80,708",59
07/07/2005,7,5,7,20,"27,2","24,425","22,1","84,25",69
08/07/2005,8,6,7,"9,6","27,9","24,567","22,6","77,667",60
09/07/2005,9,7,7,3,"28,1","23,521","20,8","84,542",64
10/07/2005,10,1,7,11,"27,9","23,733","20,7","80,917",60
11/07/2005,11,2,7,"3,6","28,2","25,458","22,3","74,208",64
12/07/2005,12,3,7,"2,6","27,7","23,888","20,5","76,583",58
13/07/2005,13,4,7,"4,4","27,7","22,425","18,9","84,125",60
14/07/2005,14,5,7,"0,4","27,9","23,454","19,9","79,042",54
15/07/2005,15,6,7,"0,8","27,4","24,892","22,1","66,875",51
16/07/2005,16,7,7,0,"28,3","24,313","18,7","70,208",49
17/07/2005,17,1,7,"1,6","28,2","23,579","19,4","79,5",59
18/07/2005,18,2,7,"1,8","26,1","22,7","21,7",89,78
19/07/2005,19,3,7,"30,2","29,5","24,546","20,7","82,042",60
20/07/2005,20,4,7,"14,8","28,2","24,958","22,1","80,25",60
21/07/2005,21,5,7,"0,6","28,4","25,404","21,6","67,292",47
22/07/2005,22,6,7,"2,2","27,5","24,138","21,4","79,375",64
23/07/2005,23,7,7,"0,8","28,1","23,754","19,1","76,125",50
24/07/2005,24,1,7,"0,2","27,9","23,783",19,"76,391",53
25/07/2005,25,2,7,"0,8","28,4","25,317","21,5","68,667",50
26/07/2005,26,3,7,1,"28,1","24,213","21,2","76,5",54
27/07/2005,27,4,7,"1,2","28,1","23,617","19,8","79,667",54
28/07/2005,28,5,7,"1,2","27,1","22,725","20,1","85,375",63
29/07/2005,29,6,7,"4,4","27,7","23,425","19,9","76,917",53
30/07/2005,30,7,7,"10,8","26,5","23,554","20,4","80,083",64
31/07/2005,31,1,7,"2,2","27,3","24,083","20,1","72,042",56
01/08/2005,1,2,8,0,"26,8","22,517","19,2","84,292",68
02/08/2005,2,3,8,"19,2","26,5","22,892","20,6","84,667",66
03/08/2005,3,4,8,"7,2","27,9","23,358","20,4","82,542",57
04/08/2005,4,5,8,11,"27,6","24,442","21,7","79,958",65
05/08/2005,5,6,8,"7,2","27,2","23,446","21,6","84,833",70
06/08/2005,6,7,8,"8,8","27,6","24,796","21,9","75,042",61
07/08/2005,7,1,8,"1,8",27,"23,788",20,"74,542",58
08/08/2005,8,2,8,"2,6","27,6","23,479","20,1","77,958",55
09/08/2005,9,3,8,"0,6","28,1","23,688","20,7","80,167",59
10/08/2005,10,4,8,"0,6","28,1","23,45","20,2","83,167",62
11/08/2005,11,5,8,0,"28,5","24,05","20,1","79,542",51
12/08/2005,12,6,8,"14,2","27,3","23,921","22,1","82,375",64
13/08/2005,13,7,8,"1,4","27,9","23,379",19,"79,75",59
14/08/2005,14,1,8,0,"28,8","24,2","20,3","80,25",58
15/08/2005,15,2,8,23,"26,1","23,025","21,4","89,875",76
16/08/2005,16,3,8,"27,8","27,4","24,333",22,"77,458",63
17/08/2005,17,4,8,"7,2","27,7","23,758","20,2","79,667",60
18/08/2005,18,5,8,4,"26,9","23,854","21,2","79,667",65
19/08/2005,19,6,8,"10,8","27,7","24,771",22,"70,75",55
20/08/2005,20,7,8,"17,2","27,5","23,275","20,9","83,833",61
21/08/2005,21,1,8,"8,8","27,3","23,038","20,5","85,75",68
22/08/2005,22,2,8,11,"28,1","24,346","21,7","78,667",60
23/08/2005,23,3,8,"27,4","26,9",23,"21,3","88,25",72
24/08/2005,24,4,8,"22,2",25,"22,975","21,3","90,542",82
25/08/2005,25,5,8,51,"27,5","23,421","21,9","84,833",62
26/08/2005,26,6,8,3,"27,6","24,038","21,3",79,57
27/08/2005,27,7,8,0,28,"23,688","19,1","79,625",59
28/08/2005,28,1,8,"2,4",28,"24,254","22,2","82,708",63
29/08/2005,29,2,8,2,"27,8","25,329","22,3","74,25",64
30/08/2005,30,3,8,2,"28,5","25,696",21,"71,75",49
31/08/2005,31,4,8,0,"27,6","25,25","20,9","71,958",61
01/09/2005,1,5,9,"0,2","28,2","25,413","22,7","72,083",55
02/09/2005,2,6,9,"0,2",28,"24,613","21,6","78,5",56
03/09/2005,3,7,9,"12,8","28,2","24,917","22,5","78,5",61
04/09/2005,4,1,9,1,"28,1","24,858","21,1","75,458",57
05/09/2005,5,2,9,"11,2",28,"24,717",22,"77,083",57
06/09/2005,6,3,9,"4,6","27,9","24,663","21,5","80,167",58
07/09/2005,7,4,9,0,"28,6","24,325","20,5","79,708",57
08/09/2005,8,5,9,0,"28,7","25,588","23,5","71,542",55
09/09/2005,9,6,9,"0,4","28,1","25,504","22,9","67,958",57
10/09/2005,10,7,9,0,"28,2","25,413","22,7","65,833",49
11/09/2005,11,1,9,"7,6",28,"24,708","21,5","72,375",54
12/09/2005,12,2,9,"0,6",28,"25,438","22,3","68,375",56
13/09/2005,13,3,9,"0,6","27,9","24,729","22,5","79,583",64
14/09/2005,14,4,9,"0,6","28,1","24,633","21,9","75,167",57
15/09/2005,15,5,9,4,"27,4","24,287","21,7","76,652",54
16/09/2005,16,6,9,"0,2",27,"23,708","19,1","74,792",57
17/09/2005,17,7,9,"0,6","29,5","24,643","19,8","71,348",37
18/09/2005,18,1,9,0,"28,5","23,587","18,5","78,043",55
19/09/2005,19,2,9,null,"28,1","24,459","20,4","75,773",58
20/09/2005,20,3,9,"0,2",29,"24,288","19,8","74,583",52
21/09/2005,21,4,9,"0,2","29,5","24,091","18,7","76,182",55
22/09/2005,22,5,9,0,"29,7","24,45","20,7","77,625",52
23/09/2005,23,6,9,0,"28,8","24,555","19,9","75,045",52
24/09/2005,24,7,9,0,"29,4","24,345","19,7","75,636",51
25/09/2005,25,1,9,null,30,"25,877","21,1","68,864",43
26/09/2005,26,2,9,0,"29,3","26,292","24,5","72,042",57
27/09/2005,27,3,9,"0,2",29,"26,158","24,5","73,042",57
28/09/2005,28,4,9,0,28,"25,588","21,2","70,375",57
29/09/2005,29,5,9,"0,8","28,8","25,85","23,5","71,625",57
30/09/2005,30,6,9,0,"29,2","24,875","20,7","74,042",51
01/10/2005,1,7,10,"0,6","29,6","25,609","21,1","72,174",50
02/10/2005,2,1,10,0,"29,1","24,925","20,4","74,667",57
03/10/2005,3,2,10,0,"29,3",null,"20,4","71,952",50
04/10/2005,4,3,10,0,29,"26,117","23,9","73,913",64
05/10/2005,5,4,10,"4,8","29,7","25,957","23,8","74,826",53
06/10/2005,6,5,10,"0,6","29,5","26,346","21,9",69,51
07/10/2005,7,6,10,"3,2","28,4","24,822","23,9","78,739",61
08/10/2005,8,7,10,"35,8","28,2","25,7","22,1","71,375",61
09/10/2005,9,1,10,0,"28,5","24,6","20,1","73,542",51
10/10/2005,10,2,10,"2,2",29,"23,696","20,2","80,783",53
11/10/2005,11,3,10,null,"28,5",null,"21,1","80,286",59
12/10/2005,12,4,10,"2,2","28,7","25,242","21,6","73,542",56
13/10/2005,13,5,10,0,"28,8","25,974","22,1","71,304",57
14/10/2005,14,6,10,3,"28,9","25,992","22,6","69,375",54
15/10/2005,15,7,10,0,"28,9","25,529","20,7","70,917",55
16/10/2005,16,1,10,0,"28,8","25,535","21,2","72,826",56
17/10/2005,17,2,10,"5,6","29,4","26,029",23,"71,208",51
18/10/2005,18,3,10,0,"30,4","26,452","23,7","67,174",42
19/10/2005,19,4,10,0,"29,6","26,239",24,"67,13",49
20/10/2005,20,5,10,0,"29,4","26,174","23,4","67,261",52
21/10/2005,21,6,10,"0,2","29,8","26,492","23,7","68,458",49
22/10/2005,22,7,10,0,"29,4","26,265","23,6","68,217",54
23/10/2005,23,1,10,0,"29,8","26,088","21,6","68,292",45
24/10/2005,24,2,10,0,"29,7","26,071",21,"66,917",47
25/10/2005,25,3,10,0,"29,6","26,096","24,3","68,625",48
26/10/2005,26,4,10,0,"29,8","25,739","21,7","75,696",56
27/10/2005,27,5,10,0,"30,7",null,"21,8","71,81",53
28/10/2005,28,6,10,0,"30,3","26,452","21,3","66,696",45
29/10/2005,29,7,10,0,"30,7","25,296","20,4","72,13",50
30/10/2005,30,1,10,0,"30,8",null,"20,3","72,5",50
31/10/2005,31,2,10,null,null,null,null,null,null
01/11/2005,1,3,11,null,null,null,null,null,48
02/11/2005,2,4,11,0,"30,4","25,804","19,9","71,833",52
03/11/2005,3,5,11,0,"29,6","26,783","24,6","66,304",52
04/11/2005,4,6,11,2,"29,6","26,079","23,3","68,333",48
05/11/2005,5,7,11,"3,6","27,8","24,142","20,6","78,292",65
06/11/2005,6,1,11,"1,4","29,7","26,054","22,9","67,667",51
07/11/2005,7,2,11,0,"30,1","25,658","20,3","67,917",42
08/11/2005,8,3,11,0,"30,6","26,929","24,5","66,792",48
09/11/2005,9,4,11,1,"29,9","26,646","24,3","70,875",56
10/11/2005,10,5,11,0,"29,8","26,575","23,2","66,708",50
11/11/2005,11,6,11,0,"30,5","25,85","20,2","68,542",49
12/11/2005,12,7,11,0,31,"26,404","20,1","67,542",47
13/11/2005,13,1,11,0,"31,1","25,55","20,6","72,458",49
14/11/2005,14,2,11,0,"31,4","26,967","22,3","65,792",46
15/11/2005,15,3,11,0,"30,1","25,754","20,4","72,458",49
16/11/2005,16,4,11,"0,4",31,"26,8","24,6","66,909",45
17/11/2005,17,5,11,"0,6","30,1","26,635","23,3","70,043",55
18/11/2005,18,6,11,"0,4","30,1","26,813","25,1","65,958",49
19/11/2005,19,7,11,"0,2","30,2",null,"24,5","69,095",51
20/11/2005,20,1,11,null,"30,2","26,213","21,9","70,833",47
21/11/2005,21,2,11,0,"30,2","26,942","22,9","67,375",55
22/11/2005,22,3,11,"0,8","31,1","27,033","23,6","71,208",53
23/11/2005,23,4,11,0,"31,1","27,433","25,2","69,458",52
24/11/2005,24,5,11,0,"31,3","27,583","25,9","70,917",56
25/11/2005,25,6,11,0,"30,3","27,222","25,7","66,304",47
26/11/2005,26,7,11,"0,2","30,4","27,214","25,8","68,909",56
27/11/2005,27,1,11,0,"31,1","27,567","25,8","68,875",53
28/11/2005,28,2,11,0,"31,2","27,646","25,6","64,542",41
29/11/2005,29,3,11,"0,2","30,2","27,246","25,4","68,667",56
30/11/2005,30,4,11,"0,2","30,7","27,142","25,4","65,792",49
01/12/2005,1,5,12,0,"30,5","27,096","24,4","65,208",47
02/12/2005,2,6,12,0,"30,9","26,825","21,8","67,792",50
03/12/2005,3,7,12,"1,8","32,2","27,021","22,8","72,958",49
04/12/2005,4,1,12,0,"31,7","27,375","23,1","72,708",54
05/12/2005,5,2,12,"0,4","31,8","27,642","23,3","70,208",48
06/12/2005,6,3,12,130,"28,2","25,754","22,5","81,542",70
07/12/2005,7,4,12,"0,2","29,9","26,396","23,4","78,208",61
08/12/2005,8,5,12,0,"30,7","26,521","22,8","75,625",56
09/12/2005,9,6,12,0,30,"27,121",25,"68,792",51
10/12/2005,10,7,12,0,"29,6","25,608","21,1","75,583",59
11/12/2005,11,1,12,"4,4",30,"25,804","22,5","77,417",56
12/12/2005,12,2,12,7,"30,4","26,688",23,"71,875",53
13/12/2005,13,3,12,0,"29,8","26,858","23,4","66,125",51
14/12/2005,14,4,12,"0,6","29,7","25,246","21,8",77,53
15/12/2005,15,5,12,"4,8","30,4","25,804","21,2","75,75",51
16/12/2005,16,6,12,0,"29,6","26,504","22,2","71,417",54
17/12/2005,17,7,12,0,"29,4",null,"22,5","70,176",55
18/12/2005,18,1,12,null,"29,6","26,875","23,6",73,55
19/12/2005,19,2,12,"1,4","29,7","26,858","23,3","73,5",63
20/12/2005,20,3,12,"0,2","29,4","26,925","24,7","68,125",58
21/12/2005,21,4,12,0,"29,9","27,021","24,9","66,083",49
22/12/2005,22,5,12,"0,4",30,"26,088","21,1","69,792",47
23/12/2005,23,6,12,0,"29,9","26,175","21,5","70,792",55
24/12/2005,24,7,12,0,"29,5","26,717","24,4","65,417",48
25/12/2005,25,1,12,0,"30,9","25,692","20,2","69,083",43
26/12/2005,26,2,12,0,30,"25,917","20,5","70,292",49
27/12/2005,27,3,12,"0,4",30,"26,488","22,4","72,5",53
28/12/2005,28,4,12,"2,2","29,1","26,371","24,5","71,5",60
29/12/2005,29,5,12,3,"29,1","26,492","23,6","71,042",59
30/12/2005,30,6,12,"0,2","29,6","26,288","21,7","72,208",58
31/12/2005,31,7,12,"7,8","29,3","26,392","22,8","73,5",62
01/01/2006,1,1,1,0,"29,2","26,283","23,1","71,708",59
02/01/2006,2,2,1,0,"29,4","25,358","20,3","74,25",56
03/01/2006,3,3,1,0,"30,1","26,333","21,8","73,917",56
04/01/2006,4,4,1,"0,2","29,6","26,783","24,2","69,458",53
05/01/2006,5,5,1,0,"30,4","27,229","24,1","66,125",48
06/01/2006,6,6,1,0,"30,1","26,496","22,1","69,375",53
07/01/2006,7,7,1,"0,2","29,6","25,942","22,1","70,125",50
08/01/2006,8,1,1,0,"30,1","26,133","20,2","65,542",41
09/01/2006,9,2,1,"0,6","29,9","25,708","21,8","75,167",55
10/01/2006,10,3,1,"1,6","30,3","27,304",25,"67,167",56
11/01/2006,11,4,1,0,"30,2","26,513","22,8","67,875",51
12/01/2006,12,5,1,0,"29,6","27,133","24,8","67,958",57
13/01/2006,13,6,1,"0,8","30,3","27,2","24,9","67,792",52
14/01/2006,14,7,1,"0,8","29,9","26,729","24,3","66,958",51
15/01/2006,15,1,1,0,"30,3","25,65","20,1","69,208",52
16/01/2006,16,2,1,"4,2","30,4","25,942","22,7","74,792",51
